,method,n,d,q,p,time
475,KeyGen,22,6,32,3,0.3534256770999491
476,Encryption,22,6,32,3,0.012033340299967676
477,Decrypt,22,6,32,3,0.000560605699865846
478,Addition,22,6,32,3,0.00010440020014357287
479,Multiplication,22,6,32,3,0.31486650419974466
480,KeyGen,22,10,32,3,0.6467027629001677
481,Encryption,22,10,32,3,0.022644449699873802
482,Decrypt,22,10,32,3,0.0010176792999118333
483,Addition,22,10,32,3,0.00011813149976660497
484,Multiplication,22,10,32,3,0.6438113461998001
485,KeyGen,22,12,32,3,0.8342381716996897
486,Encryption,22,12,32,3,0.030018639300033102
487,Decrypt,22,12,32,3,0.0013858829999662703
488,Addition,22,12,32,3,0.00012977669975953177
489,Multiplication,22,12,32,3,0.8065973895001661
490,KeyGen,22,26,32,3,3.025850159199763
491,Encryption,22,26,32,3,0.11310425509982451
492,Decrypt,22,26,32,3,0.0046743868999328695
493,Addition,22,26,32,3,0.0005978444998618216
494,Multiplication,22,26,32,3,2.974226587099838
495,KeyGen,22,28,32,3,3.393237217099886
496,Encryption,22,28,32,3,0.12412955239997245
497,Decrypt,22,28,32,3,0.005307656199875055
498,Addition,22,28,32,3,0.00020359619993541854
499,Multiplication,22,28,32,3,3.3761343530000887
500,KeyGen,22,30,32,3,3.658839897099824
501,Encryption,22,30,32,3,0.14482259020005586
502,Decrypt,22,30,32,3,0.005991685600019991
503,Addition,22,30,32,3,0.00020824330022151116
504,Multiplication,22,30,32,3,3.817321011199965
505,KeyGen,20,16,32,3,0.9817963329998747
506,Encryption,20,16,32,3,0.04099766879990056
507,Decrypt,20,16,32,3,0.0019585350000852486
508,Addition,20,16,32,3,0.0001405349001288414
509,Multiplication,20,16,32,3,1.0558910065999954
510,KeyGen,20,18,32,3,1.186989700399863
511,Encryption,20,18,32,3,0.04870730549992004
512,Decrypt,20,18,32,3,0.002232087800075533
513,Addition,20,18,32,3,0.00015032219998829533
514,Multiplication,20,18,32,3,1.2678787348002516
515,KeyGen,20,14,32,3,0.8632811932999175
516,Encryption,20,14,32,3,0.03543965630015009
517,Decrypt,20,14,32,3,0.0016812603000289528
518,Addition,20,14,32,3,0.00014680610001960304
519,Multiplication,20,14,32,3,0.7964388624001003
520,KeyGen,22,32,32,3,4.241351269900042
521,Encryption,22,32,32,3,0.16189959440016538
522,Decrypt,22,32,32,3,0.007072303299719351
523,Addition,22,32,32,3,0.00022459469983004965
524,Multiplication,22,32,32,3,4.350641683899812
525,KeyGen,20,20,32,3,1.4056707882999036
526,Encryption,20,20,32,3,0.059365480999986175
527,Decrypt,20,20,32,3,0.0027880363999429393
528,Addition,20,20,32,3,0.00015993429988157005
529,Multiplication,20,20,32,3,1.4793939920000412
530,KeyGen,20,2,32,3,0.09370955590020458
531,Encryption,20,2,32,3,0.003327254800024093
532,Decrypt,20,2,32,3,0.00020112420024815948
533,Addition,20,2,32,3,7.586760002595839e-05
534,Multiplication,20,2,32,3,0.07529085550013406
535,KeyGen,20,12,32,3,0.6707944150999537
536,Encryption,20,12,32,3,0.026664691400219452
537,Decrypt,20,12,32,3,0.0012690116000158014
538,Addition,20,12,32,3,0.0001261486002476886
539,Multiplication,20,12,32,3,0.6235305515001528
540,KeyGen,20,1,32,3,0.06401870800000324
541,Encryption,20,1,32,3,0.0023354130000370786
542,Decrypt,20,1,32,3,0.0001485660999605898
543,Addition,20,1,32,3,6.907450006110594e-05
544,Multiplication,20,1,32,3,0.05152701199986041
545,KeyGen,20,4,32,3,0.17899999010005557
546,Encryption,20,4,32,3,0.005910319999748026
547,Decrypt,20,4,32,3,0.00031802470002730845
548,Addition,20,4,32,3,8.278479981527198e-05
549,Multiplication,20,4,32,3,0.13802810480010522
550,KeyGen,20,6,32,3,0.26817717689991694
551,Encryption,20,6,32,3,0.01056584660000226
552,Decrypt,20,6,32,3,0.0005041996002546512
553,Addition,20,6,32,3,9.269189977203495e-05
554,Multiplication,20,6,32,3,0.23208287300003577
555,KeyGen,20,22,32,3,1.6388669287000084
556,Encryption,20,22,32,3,0.06765387289997307
557,Decrypt,20,22,32,3,0.0032401519998529692
558,Addition,20,22,32,3,0.0001619673999812221
559,Multiplication,20,22,32,3,1.7741612133999296
560,KeyGen,20,8,32,3,0.37179852869994645
561,Encryption,20,8,32,3,0.014362724300008267
562,Decrypt,20,8,32,3,0.0007229642000311287
563,Addition,20,8,32,3,0.00010469820008438547
564,Multiplication,20,8,32,3,0.34268536250019677
565,KeyGen,20,10,32,3,0.49880565269995714
